Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH1RS08A414,Magnussen's Toyota of Palo Alto,CA
2024,Platinum AWD,Celestial Silver Metallic,53375,1098.0,54473.0,Factory to port,True,Available,5TDEBRCH1RS09A585,Toyota of Cedar Park,TX
2024,Platinum AWD,Magnetic Gray Metallic,53375,195.0,53570.0,Factory to port,False,,5TDEBRCH1RS10I406,Cabe Toyota Long Beach,CA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH1RS10J256,Alderman's Toyota,VT
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH1RS10K164,Fox Toyota of Cadillac,MI
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH1RS11K564,Toyota of Puyallup,WA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH1RS11K578,Berlin City Toyota of Portland,ME
2024,Platinum AWD,Cypress,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH1RS11L486,Krause Toyota,PA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH1RS11M492,Baxter Toyota of Lincoln,NE
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH1RS12J216,Toyota of Bedford,OH
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH1RS12K026,Serra Toyota of Saginaw,MI
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH1RS12K883,Toyota Marin,CA
2024,Platinum AWD,Moon Dust,53375,1295.0,54670.0,Factory to port,False,,5TDEBRCH1RS13J597,Auburn Toyota,CA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH1RS13K278,Future Toyota of Yuba City,CA
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH1RS13K295,Ken Ganley Toyota Akron,OH
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH1RS13K541,City Toyota,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH1RS141739,Toyota of Southern Maryland,MD
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,At dealer,False,DealerHold,5TDEBRCH1RS142020,Glockner Toyota,OH
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,True,DealerHold,5TDEBRCH1RS142325,Toyota of San Bernardino,CA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH1RS142616,John Weiss' Toyota of South County,MO
2024,Platinum AWD,Ruby Flare Pearl,53375,7282.0,60657.0,Port to dealer,False,DealerHold,5TDEBRCH1RS142728,Toyota of Kirkland,WA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH1RS142857,Middletown Toyota,CT
2024,Platinum AWD,Cypress,53375,0.0,53375.0,At dealer,False,,5TDEBRCH1RS611607,Toyota of Lincoln Park,IL
2023,Platinum AWD,Cypress,53025,0.0,53025.0,At dealer,False,Available,5TDEBRCH2PS590862,Freeman Toyota,CA
2024,Platinum AWD,Blueprint,53375,995.0,54370.0,Factory to port,True,,5TDEBRCH2RS09A420,Hanlees Fairfield Toyota,CA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH2RS09C443,Evans Toyota,IN
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH2RS10J315,Kendall Toyota,OR
2024,Platinum AWD,Ruby Flare Pearl,53375,599.0,53974.0,Factory to port,False,,5TDEBRCH2RS10K173,Hudson Toyota,NJ
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH2RS11L495,Warrenton Toyota,VA
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH2RS11M422,Hanover Toyota,PA
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH2RS11M436,Team Toyota,OH
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH2RS12I969,Route 22 Toyota,NJ
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH2RS12I972,Brian Bemis Toyota of DeKalb,IL
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH2RS12J208,West Herr Toyota of Orchard Park,NY
2024,Platinum AWD,Wind Chill Pearl,53375,1995.0,55370.0,Factory to port,True,DealerHold,5TDEBRCH2RS12J211,Toyota Carlsbad,CA
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH2RS12J970,South Bay Toyota,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH2RS12K892,Toyota of Murray,KY
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH2RS13J351,Toyota on Nicholasville,KY
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH2RS13J365,Doxon Toyota,WA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH2RS13J592,Toyota of Boardman,OH
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH2RS13J608,Queensboro Toyota,NY
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH2RS13K550,Balise Toyota of Warwick,RI
2024,Platinum AWD,Ruby Flare Pearl,53125,0.0,53125.0,At dealer,False,DealerHold,5TDEBRCH2RS141166,Rogers Toyota of Hermiston,OR
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,At dealer,False,DealerHold,5TDEBRCH2RS142074,Toyota of Nashua,NH
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH2RS142592,Sunrise Toyota,NY
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH2RS142608,Lewis Toyota of Dodge City,KS
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Port to dealer,True,Available,5TDEBRCH2RS142611,Toyota of Seattle,WA
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Port to dealer,False,,5TDEBRCH2RS142866,Toyota of Seattle,WA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH2RS142950,Stokes Toyota Hilton Head,SC
2024,Platinum AWD,Cypress,53375,0.0,53375.0,Port to dealer,False,,5TDEBRCH2RS611955,Performance Motors Toyota,PA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS08A429,Ed Morse Delray Toyota,FL
2024,Platinum AWD,Blueprint,53375,1990.0,55365.0,Factory to port,True,,5TDEBRCH3RS08B614,East Madison Toyota,WI
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS09B401,Toyota of Dartmouth,MA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH3RS09B625,Toyota of Erie,PA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH3RS10I407,Claremont Toyota,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS10J257,West Herr Toyota of Williamsville,NY
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS11K629,Toyota of Hopkinsville,KY
2024,Platinum AWD,Cypress,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS11L487,Team Toyota of Glen Mills,PA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH3RS11L490,Santa Margarita Toyota,CA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS12J220,West Herr Toyota of Canandaigua,NY
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS12J976,Toyota City,NY
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH3RS12K884,Tustin Toyota,CA
2024,Platinum AWD,Blueprint,53125,0.0,53125.0,At dealer,False,Available,5TDEBRCH3RS139555,David Wilson's Toyota of Las Vegas,NV
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH3RS13I667,Toyota of Puyallup,WA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH3RS13J603,Doxon Toyota,WA
2024,Platinum AWD,Moon Dust,53375,1899.0,55274.0,Factory to port,False,DealerHold,5TDEBRCH3RS13K525,Wolfchase Toyota,TN
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,False,Available,5TDEBRCH3RS142021,Perry Motors Toyota,CA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH3RS142116,Irwin Toyota,NH
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,True,DealerHold,5TDEBRCH3RS142195,Capitol Toyota of Salem,OR
2024,Platinum AWD,Celestial Silver Metallic,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH3RS142388,Toyota of Lake City,WA
2024,Platinum AWD,Blueprint,53375,1893.0,55268.0,Port to dealer,False,DealerHold,5TDEBRCH3RS142441,Toyota World of Newton,NJ
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH3RS142696,Sunrise Toyota North,NY
2024,Platinum AWD,Magnetic Gray Metallic,53125,0.0,53125.0,At dealer,False,Available,5TDEBRCH3RS607946,Carson City Toyota,NV
2023,Platinum AWD,Moon Dust,52625,0.0,52625.0,At dealer,False,DealerHold,5TDEBRCH4PS586036,Toyota of Escondido,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH4RS09B407,Warrenton Toyota,VA
2024,Platinum AWD,Wind Chill Pearl,53375,995.0,54370.0,Factory to port,True,,5TDEBRCH4RS09C024,Toyota Town,CA
