Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,LE FWD,Predawn Gray Mica,26420,27824,553,26973,Port to dealer,False,,4T1C11AK0RU252185,David Wilson's Toyota of Las Vegas,NV
2024,LE FWD,Ice Cap,26420,28494,0,26420,Port to dealer,False,,4T1C11AK0RU252221,South Coast Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,29391,0,26420,Factory to port,False,Available,4T1C11AK0RU252400,Texas Toyota of Grapevine,TX
2024,LE FWD,Midnight Black Metallic,26420,27969,0,26420,Port to dealer,False,Available,4T1C11AK0RU252509,Younger Toyota,MD
2024,LE FWD,Midnight Black Metallic,26420,27814,0,26420,Port to dealer,True,DealerHold,4T1C11AK0RU252526,Maplewood Toyota,MN
2024,LE FWD,Midnight Black Metallic,26420,28573,0,26420,Factory to port,False,Available,4T1C11AK0RU252591,Family Toyota of Burleson,TX
2024,LE FWD,Midnight Black Metallic,26420,28213,0,26420,Port to dealer,False,,4T1C11AK0RU252655,New Holland Toyota,PA
2024,LE FWD,Predawn Gray Mica,26420,28262,0,26420,Port to dealer,False,,4T1C11AK0RU252817,Claremont Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,Port to dealer,False,,4T1C11AK0RU252882,Miller Toyota,VA
2024,LE FWD,Supersonic Red,26420,28537,0,26420,Port to dealer,False,Available,4T1C11AK0RU253062,Toyota of San Bernardino,CA
2024,LE FWD,Ice Edge,26420,28283,395,26815,Port to dealer,False,,4T1C11AK0RU253210,Capistrano Valley Toyota,CA
2024,LE FWD,Ice Edge,26420,28686,0,26420,Port to dealer,False,Available,4T1C11AK0RU253272,Toyota Santa Monica,CA
2024,LE FWD,Predawn Gray Mica,26420,27814,0,26420,At dealer,False,,4T1C11AK0RU253305,Toyota Direct,OH
2024,LE FWD,Predawn Gray Mica,26420,28648,0,26420,At dealer,False,Available,4T1C11AK0RU253319,Berglund Toyota,VA
2024,LE FWD,Ice Edge,26420,28112,0,26420,Port to dealer,False,,4T1C11AK0RU253336,Elk Grove Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,Port to dealer,False,,4T1C11AK0RU253515,Passport Toyota,MD
2024,LE FWD,Supersonic Red,26420,28687,0,26420,Port to dealer,False,Available,4T1C11AK0RU253661,Toyota of San Bernardino,CA
2024,LE FWD,Ice Cap,26420,28086,2098,28518,Port to dealer,False,,4T1C11AK0RU253692,Toyota of Surprise,AZ
2024,LE FWD,Supersonic Red,26420,28662,0,26420,At dealer,False,,4T1C11AK0RU253725,Oak Lawn Toyota,IL
2024,LE FWD,Ice Cap,26420,29013,0,26420,Factory to port,False,Available,4T1C11AK0RU253868,Toyota of Hattiesburg,MS
2024,LE FWD,Predawn Gray Mica,26420,28018,0,26420,Port to dealer,False,Available,4T1C11AK0RU254115,Fremont Toyota,CA
2024,LE FWD,Ice Cap,26420,27889,0,26420,Port to dealer,False,,4T1C11AK0RU254275,Toyota of Clovis,CA
2024,LE FWD,Celestial Silver Metallic,26420,28267,0,26420,Port to dealer,False,,4T1C11AK0RU254289,Future Toyota of Yuba City,CA
2024,LE FWD,Ice Edge,26420,28494,0,26420,Port to dealer,False,,4T1C11AK0RU254437,Del Toyota,PA
2024,LE FWD,Ice Edge,26420,27924,1695,28115,Factory to port,False,Available,4T1C11AK0RU254521,Keating Toyota,TX
2024,LE FWD,Midnight Black Metallic,26420,27974,895,27315,At dealer,False,Available,4T1C11AK0RU878044,Jim Norton Toyota,OK
2024,LE FWD,Ice Cap,26420,29211,4000,30420,At dealer,False,Available,4T1C11AK0RU891716,Ray Brandt Toyota,LA
